Transcript stable ID	Protein stable ID
ENSDART00000053568	ENSDARP00000053567
ENSDART00000053588	ENSDARP00000053587
ENSDART00000053609	ENSDARP00000053608
ENSDART00000053622	ENSDARP00000053621
ENSDART00000053639	ENSDARP00000053638
ENSDART00000053761	ENSDARP00000053760
ENSDART00000053775	ENSDARP00000053774
ENSDART00000053776	ENSDARP00000053775
ENSDART00000053794	ENSDARP00000053793
ENSDART00000053834	ENSDARP00000053833
ENSDART00000053838	ENSDARP00000053837
ENSDART00000053841	ENSDARP00000053840
ENSDART00000053863	ENSDARP00000053862
ENSDART00000053864	ENSDARP00000053863
ENSDART00000053878	ENSDARP00000053877
ENSDART00000053880	ENSDARP00000053879
ENSDART00000053883	ENSDARP00000053882
ENSDART00000053925	ENSDARP00000053924
ENSDART00000053926	ENSDARP00000053925
ENSDART00000053946	ENSDARP00000053945
ENSDART00000054007	ENSDARP00000054006
ENSDART00000054020	ENSDARP00000054019
ENSDART00000054026	ENSDARP00000054025
ENSDART00000054064	ENSDARP00000054063
ENSDART00000054071	ENSDARP00000054070
ENSDART00000054092	ENSDARP00000054091
ENSDART00000054183	ENSDARP00000054182
ENSDART00000054187	ENSDARP00000054186
ENSDART00000054205	ENSDARP00000054204
ENSDART00000054243	ENSDARP00000054242
ENSDART00000054265	ENSDARP00000054264
ENSDART00000054338	ENSDARP00000054337
ENSDART00000054353	ENSDARP00000054352
ENSDART00000054368	ENSDARP00000054367
ENSDART00000054386	ENSDARP00000054385
ENSDART00000054388	ENSDARP00000054387
ENSDART00000054408	ENSDARP00000054407
ENSDART00000054411	ENSDARP00000054410
ENSDART00000054416	ENSDARP00000054415
ENSDART00000054460	ENSDARP00000054459
ENSDART00000054472	ENSDARP00000054471
ENSDART00000054574	ENSDARP00000054573
ENSDART00000054579	ENSDARP00000054578
ENSDART00000054588	ENSDARP00000054587
ENSDART00000054590	ENSDARP00000054589
ENSDART00000054591	ENSDARP00000054590
ENSDART00000054605	ENSDARP00000054604
ENSDART00000054611	ENSDARP00000054610
ENSDART00000054619	ENSDARP00000054618
ENSDART00000054641	ENSDARP00000054640
ENSDART00000054651	ENSDARP00000054650
ENSDART00000054664	ENSDARP00000054663
ENSDART00000054689	ENSDARP00000054688
ENSDART00000054691	ENSDARP00000054690
ENSDART00000054710	ENSDARP00000054709
ENSDART00000054761	ENSDARP00000054760
ENSDART00000054803	ENSDARP00000054802
ENSDART00000054823	ENSDARP00000054822
ENSDART00000054835	ENSDARP00000054834
ENSDART00000054848	ENSDARP00000054847
ENSDART00000054866	ENSDARP00000054865
ENSDART00000055047	ENSDARP00000055046
ENSDART00000055054	ENSDARP00000055053
ENSDART00000055064	ENSDARP00000055063
ENSDART00000055088	ENSDARP00000055087
ENSDART00000055134	ENSDARP00000055133
ENSDART00000055148	ENSDARP00000055147
ENSDART00000055160	ENSDARP00000055159
ENSDART00000055171	ENSDARP00000055170
ENSDART00000055194	ENSDARP00000055193
ENSDART00000055220	ENSDARP00000055219
ENSDART00000055248	ENSDARP00000055247
ENSDART00000055252	ENSDARP00000055251
ENSDART00000055253	ENSDARP00000105723
ENSDART00000055259	ENSDARP00000055258
ENSDART00000055287	ENSDARP00000055286
ENSDART00000055295	
ENSDART00000055324	ENSDARP00000055323
ENSDART00000055325	ENSDARP00000055324
ENSDART00000055338	ENSDARP00000055337
ENSDART00000055380	ENSDARP00000055379
ENSDART00000055407	ENSDARP00000055406
ENSDART00000055430	ENSDARP00000055429
ENSDART00000055443	ENSDARP00000055442
ENSDART00000055473	ENSDARP00000055472
ENSDART00000055491	ENSDARP00000055490
ENSDART00000055502	ENSDARP00000055501
ENSDART00000055510	ENSDARP00000055509
ENSDART00000055511	ENSDARP00000055510
ENSDART00000055534	
ENSDART00000055537	ENSDARP00000055536
ENSDART00000055554	ENSDARP00000055553
ENSDART00000055566	ENSDARP00000055565
ENSDART00000055577	ENSDARP00000055576
ENSDART00000055590	ENSDARP00000055589
ENSDART00000055609	ENSDARP00000055608
ENSDART00000055618	ENSDARP00000055617
ENSDART00000055619	ENSDARP00000055618
ENSDART00000055707	ENSDARP00000055706
