Transcript stable ID	Protein stable ID
ENSDART00000024677	ENSDARP00000015923
ENSDART00000024691	ENSDARP00000002286
ENSDART00000024695	ENSDARP00000004236
ENSDART00000024722	ENSDARP00000023693
ENSDART00000024750	ENSDARP00000007566
ENSDART00000024751	ENSDARP00000020169
ENSDART00000024777	ENSDARP00000025246
ENSDART00000024795	ENSDARP00000027382
ENSDART00000024815	ENSDARP00000026447
ENSDART00000024821	ENSDARP00000014069
ENSDART00000024822	ENSDARP00000008506
ENSDART00000024861	ENSDARP00000023736
ENSDART00000024872	ENSDARP00000024846
ENSDART00000024882	ENSDARP00000013742
ENSDART00000024898	ENSDARP00000013659
ENSDART00000024984	ENSDARP00000011735
ENSDART00000025013	ENSDARP00000019235
ENSDART00000025057	ENSDARP00000025782
ENSDART00000025107	ENSDARP00000008018
ENSDART00000025171	ENSDARP00000005746
ENSDART00000025224	ENSDARP00000003197
ENSDART00000025315	
ENSDART00000025326	ENSDARP00000003101
ENSDART00000025428	ENSDARP00000011069
ENSDART00000025487	ENSDARP00000022692
ENSDART00000025494	ENSDARP00000008019
ENSDART00000025509	ENSDARP00000024225
ENSDART00000025575	ENSDARP00000014377
ENSDART00000025621	ENSDARP00000002466
ENSDART00000025713	ENSDARP00000023057
ENSDART00000025719	ENSDARP00000023737
ENSDART00000025724	ENSDARP00000012342
ENSDART00000025731	ENSDARP00000027699
ENSDART00000025749	ENSDARP00000016595
ENSDART00000025782	ENSDARP00000013627
ENSDART00000025803	ENSDARP00000002618
ENSDART00000025820	ENSDARP00000021126
ENSDART00000025841	ENSDARP00000016874
ENSDART00000025853	ENSDARP00000025205
ENSDART00000025966	ENSDARP00000010277
ENSDART00000025997	ENSDARP00000004485
ENSDART00000026088	ENSDARP00000021808
ENSDART00000026174	ENSDARP00000003788
ENSDART00000026189	ENSDARP00000024817
ENSDART00000026194	ENSDARP00000027157
ENSDART00000026244	ENSDARP00000024380
ENSDART00000026249	ENSDARP00000005405
ENSDART00000026257	ENSDARP00000011269
ENSDART00000026313	ENSDARP00000004160
ENSDART00000026314	ENSDARP00000007140
ENSDART00000026316	ENSDARP00000022438
ENSDART00000026339	ENSDARP00000002061
ENSDART00000026383	ENSDARP00000011354
ENSDART00000026464	ENSDARP00000006420
ENSDART00000026592	ENSDARP00000019505
ENSDART00000026693	ENSDARP00000027542
ENSDART00000026701	ENSDARP00000016775
ENSDART00000026726	ENSDARP00000011386
ENSDART00000026747	ENSDARP00000027942
ENSDART00000026749	ENSDARP00000026717
ENSDART00000026765	ENSDARP00000012428
ENSDART00000026768	ENSDARP00000015287
ENSDART00000026794	ENSDARP00000011866
ENSDART00000026807	ENSDARP00000007963
ENSDART00000026814	ENSDARP00000023049
ENSDART00000026963	ENSDARP00000008048
ENSDART00000026966	ENSDARP00000004906
ENSDART00000026992	ENSDARP00000002932
ENSDART00000027014	ENSDARP00000022120
ENSDART00000027034	ENSDARP00000020217
ENSDART00000027115	ENSDARP00000013936
ENSDART00000027158	ENSDARP00000025779
ENSDART00000027171	ENSDARP00000002953
ENSDART00000027224	ENSDARP00000019361
ENSDART00000027225	ENSDARP00000017536
ENSDART00000027242	ENSDARP00000010118
ENSDART00000027250	ENSDARP00000018621
ENSDART00000027255	ENSDARP00000007032
ENSDART00000027301	ENSDARP00000015477
ENSDART00000027316	ENSDARP00000025243
ENSDART00000027331	ENSDARP00000007227
ENSDART00000027337	ENSDARP00000007381
ENSDART00000027345	ENSDARP00000016439
ENSDART00000027364	ENSDARP00000016637
ENSDART00000027386	ENSDARP00000009993
ENSDART00000027393	ENSDARP00000011271
ENSDART00000027417	ENSDARP00000014703
ENSDART00000027428	ENSDARP00000013115
ENSDART00000027454	ENSDARP00000026816
ENSDART00000027459	ENSDARP00000022046
ENSDART00000027466	ENSDARP00000004845
ENSDART00000027532	ENSDARP00000020470
ENSDART00000027550	ENSDARP00000024387
ENSDART00000027587	ENSDARP00000012139
ENSDART00000027598	ENSDARP00000004352
ENSDART00000027603	ENSDARP00000024900
ENSDART00000027616	ENSDARP00000017878
ENSDART00000027624	ENSDARP00000013967
ENSDART00000027657	ENSDARP00000027370
ENSDART00000027666	ENSDARP00000002435
ENSDART00000027684	ENSDARP00000019103
ENSDART00000027718	ENSDARP00000004667
ENSDART00000027782	ENSDARP00000008879
ENSDART00000027807	ENSDARP00000014936
ENSDART00000027836	ENSDARP00000006694
ENSDART00000027850	ENSDARP00000013733
ENSDART00000028003	ENSDARP00000012738
ENSDART00000028007	ENSDARP00000013353
ENSDART00000028017	ENSDARP00000003616
ENSDART00000028043	ENSDARP00000004350
ENSDART00000028085	ENSDARP00000018028
ENSDART00000028090	ENSDARP00000002313
ENSDART00000028099	ENSDARP00000017636
ENSDART00000028159	ENSDARP00000015671
ENSDART00000028161	ENSDARP00000004804
ENSDART00000028217	ENSDARP00000035207
ENSDART00000028247	ENSDARP00000030237
ENSDART00000028297	ENSDARP00000034837
ENSDART00000028349	ENSDARP00000031658
ENSDART00000028373	ENSDARP00000038578
ENSDART00000028566	ENSDARP00000036958
ENSDART00000028592	ENSDARP00000031677
ENSDART00000028612	ENSDARP00000030741
ENSDART00000028641	ENSDARP00000031354
ENSDART00000028673	ENSDARP00000031031
ENSDART00000028694	ENSDARP00000031210
ENSDART00000028854	ENSDARP00000031013
ENSDART00000028856	ENSDARP00000031067
ENSDART00000028960	ENSDARP00000031098
ENSDART00000028997	ENSDARP00000032580
ENSDART00000029014	ENSDARP00000033414
ENSDART00000029051	ENSDARP00000032422
ENSDART00000029121	ENSDARP00000036699
ENSDART00000029133	ENSDARP00000038446
ENSDART00000029283	ENSDARP00000032989
ENSDART00000029308	ENSDARP00000031533
ENSDART00000029364	ENSDARP00000032337
ENSDART00000029380	ENSDARP00000032168
ENSDART00000029387	ENSDARP00000038241
ENSDART00000029400	ENSDARP00000039112
ENSDART00000029457	ENSDARP00000038222
ENSDART00000029492	ENSDARP00000028584
ENSDART00000029549	ENSDARP00000034206
ENSDART00000029553	ENSDARP00000028805
ENSDART00000029599	ENSDARP00000037012
ENSDART00000029649	ENSDARP00000033749
ENSDART00000029699	ENSDARP00000032264
ENSDART00000029797	ENSDARP00000033367
ENSDART00000029843	ENSDARP00000032826
ENSDART00000029939	ENSDARP00000039332
ENSDART00000029946	ENSDARP00000028262
ENSDART00000029981	ENSDARP00000032726
ENSDART00000030138	ENSDARP00000033942
ENSDART00000030141	ENSDARP00000034052
ENSDART00000030205	ENSDARP00000038022
ENSDART00000030211	ENSDARP00000038400
ENSDART00000030368	ENSDARP00000033525
ENSDART00000030453	ENSDARP00000038553
ENSDART00000030509	ENSDARP00000030826
ENSDART00000030520	ENSDARP00000031322
ENSDART00000030553	ENSDARP00000035935
ENSDART00000030557	ENSDARP00000035957
ENSDART00000030579	ENSDARP00000037928
ENSDART00000030622	ENSDARP00000030612
ENSDART00000030637	ENSDARP00000031351
ENSDART00000030646	ENSDARP00000030834
ENSDART00000030683	ENSDARP00000033049
ENSDART00000030691	ENSDARP00000035859
ENSDART00000030887	ENSDARP00000038893
ENSDART00000030890	ENSDARP00000038993
ENSDART00000030919	ENSDARP00000035567
ENSDART00000030984	ENSDARP00000032408
ENSDART00000030995	ENSDARP00000035728
ENSDART00000031016	ENSDARP00000032843
ENSDART00000031028	ENSDARP00000032583
ENSDART00000031130	ENSDARP00000033306
ENSDART00000031165	ENSDARP00000031494
ENSDART00000031194	ENSDARP00000038848
ENSDART00000031205	ENSDARP00000028921
ENSDART00000031245	ENSDARP00000038594
ENSDART00000031408	ENSDARP00000030292
ENSDART00000031418	ENSDARP00000039324
ENSDART00000031485	ENSDARP00000038996
ENSDART00000031486	ENSDARP00000039061
ENSDART00000031546	ENSDARP00000038141
ENSDART00000031597	ENSDARP00000035853
ENSDART00000031616	
ENSDART00000031625	ENSDARP00000037108
ENSDART00000031635	ENSDARP00000033024
ENSDART00000031638	ENSDARP00000033200
ENSDART00000031650	ENSDARP00000030050
ENSDART00000031665	ENSDARP00000028837
ENSDART00000031700	ENSDARP00000028905
ENSDART00000031719	ENSDARP00000032601
ENSDART00000031937	ENSDARP00000038292
ENSDART00000032118	ENSDARP00000029427
ENSDART00000032161	ENSDARP00000036450
ENSDART00000032184	ENSDARP00000033758
ENSDART00000032188	ENSDARP00000033960
ENSDART00000032275	ENSDARP00000029343
ENSDART00000032290	ENSDARP00000028904
ENSDART00000032324	ENSDARP00000033279
ENSDART00000032331	ENSDARP00000032669
ENSDART00000032341	ENSDARP00000033243
ENSDART00000032344	ENSDARP00000033355
ENSDART00000032355	ENSDARP00000032153
ENSDART00000032389	ENSDARP00000038743
ENSDART00000032390	ENSDARP00000038901
ENSDART00000032392	ENSDARP00000038975
ENSDART00000032474	ENSDARP00000034822
ENSDART00000032494	ENSDARP00000032176
ENSDART00000032498	ENSDARP00000032359
ENSDART00000032540	ENSDARP00000037906
ENSDART00000032702	ENSDARP00000035895
ENSDART00000032770	ENSDARP00000033555
ENSDART00000032778	ENSDARP00000034051
ENSDART00000032805	ENSDARP00000030796
ENSDART00000032857	ENSDARP00000034350
ENSDART00000032880	ENSDARP00000029067
ENSDART00000032975	ENSDARP00000030254
ENSDART00000032996	ENSDARP00000031112
ENSDART00000033018	ENSDARP00000038731
ENSDART00000033053	ENSDARP00000032722
ENSDART00000033090	ENSDARP00000031607
ENSDART00000033093	ENSDARP00000030814
ENSDART00000033103	ENSDARP00000031168
ENSDART00000033121	ENSDARP00000029276
ENSDART00000033132	ENSDARP00000036397
ENSDART00000033188	ENSDARP00000031665
ENSDART00000033361	ENSDARP00000036553
ENSDART00000033394	ENSDARP00000029635
ENSDART00000033494	ENSDARP00000037789
ENSDART00000033528	ENSDARP00000032728
ENSDART00000033545	ENSDARP00000031709
ENSDART00000033701	ENSDARP00000038865
ENSDART00000033702	ENSDARP00000038939
ENSDART00000033706	ENSDARP00000039212
ENSDART00000033713	ENSDARP00000038520
ENSDART00000033819	ENSDARP00000033971
ENSDART00000033848	ENSDARP00000029653
