Transcript stable ID	Protein stable ID
ENSDART00000136718	
ENSDART00000136737	
ENSDART00000136738	
ENSDART00000136739	
ENSDART00000136740	ENSDARP00000120869
ENSDART00000136742	
ENSDART00000136750	ENSDARP00000120709
ENSDART00000136755	
ENSDART00000136756	ENSDARP00000118530
ENSDART00000136760	ENSDARP00000120840
ENSDART00000136761	ENSDARP00000117890
ENSDART00000136763	ENSDARP00000120713
ENSDART00000136765	ENSDARP00000121164
ENSDART00000136766	ENSDARP00000115294
ENSDART00000136771	ENSDARP00000116467
ENSDART00000136774	
ENSDART00000136777	
ENSDART00000136784	ENSDARP00000118413
ENSDART00000136785	
ENSDART00000136793	ENSDARP00000118255
ENSDART00000136795	ENSDARP00000123118
ENSDART00000136833	ENSDARP00000112612
ENSDART00000136858	
ENSDART00000136863	ENSDARP00000112724
ENSDART00000136864	
ENSDART00000136865	ENSDARP00000117151
ENSDART00000136874	ENSDARP00000120674
ENSDART00000136876	
ENSDART00000136878	
ENSDART00000136886	
ENSDART00000136900	ENSDARP00000116641
ENSDART00000136917	
ENSDART00000136927	ENSDARP00000122840
ENSDART00000136933	
ENSDART00000136936	ENSDARP00000115803
ENSDART00000136948	ENSDARP00000123839
ENSDART00000136952	ENSDARP00000116140
ENSDART00000136960	
ENSDART00000136961	ENSDARP00000116963
ENSDART00000136963	
ENSDART00000136975	
ENSDART00000136987	ENSDARP00000122052
ENSDART00000136989	
ENSDART00000136990	ENSDARP00000115667
ENSDART00000136991	ENSDARP00000117801
ENSDART00000136992	ENSDARP00000122627
ENSDART00000136999	ENSDARP00000123254
ENSDART00000137010	ENSDARP00000115827
ENSDART00000137013	
ENSDART00000137015	ENSDARP00000115255
ENSDART00000137029	ENSDARP00000120708
ENSDART00000137034	
ENSDART00000137041	
ENSDART00000137051	
ENSDART00000137052	ENSDARP00000120977
ENSDART00000137055	
ENSDART00000137057	
ENSDART00000137058	
ENSDART00000137073	ENSDARP00000113295
ENSDART00000137074	ENSDARP00000113743
ENSDART00000137088	ENSDARP00000116695
ENSDART00000137103	ENSDARP00000119354
ENSDART00000137106	
ENSDART00000137107	ENSDARP00000119810
ENSDART00000137109	
ENSDART00000137112	ENSDARP00000116842
ENSDART00000137126	
ENSDART00000137128	ENSDARP00000122116
ENSDART00000137169	ENSDARP00000122801
ENSDART00000137180	
ENSDART00000137199	
ENSDART00000137203	ENSDARP00000117993
ENSDART00000137220	ENSDARP00000116588
ENSDART00000137229	ENSDARP00000117633
ENSDART00000137230	ENSDARP00000119890
ENSDART00000137232	ENSDARP00000118184
ENSDART00000137247	
ENSDART00000137266	ENSDARP00000122182
ENSDART00000137267	ENSDARP00000124596
ENSDART00000137285	ENSDARP00000114594
ENSDART00000137293	ENSDARP00000118138
ENSDART00000137294	
ENSDART00000137300	
ENSDART00000137312	ENSDARP00000119808
ENSDART00000137313	
ENSDART00000137315	ENSDARP00000121735
ENSDART00000137319	ENSDARP00000117956
ENSDART00000137323	ENSDARP00000114185
ENSDART00000137326	
ENSDART00000137333	
ENSDART00000137344	ENSDARP00000113044
ENSDART00000137346	ENSDARP00000121924
ENSDART00000137354	
ENSDART00000137358	ENSDARP00000114636
ENSDART00000137364	ENSDARP00000118305
ENSDART00000137373	ENSDARP00000117930
ENSDART00000137381	
ENSDART00000137384	ENSDARP00000117093
ENSDART00000137389	ENSDARP00000123180
ENSDART00000137398	ENSDARP00000118990
ENSDART00000137399	
ENSDART00000137410	ENSDARP00000122676
ENSDART00000137416	ENSDARP00000117413
ENSDART00000137425	ENSDARP00000119638
ENSDART00000137436	
ENSDART00000137458	ENSDARP00000116768
ENSDART00000137465	ENSDARP00000113521
ENSDART00000137467	ENSDARP00000117245
ENSDART00000137472	ENSDARP00000114727
ENSDART00000137475	ENSDARP00000114654
ENSDART00000137476	
ENSDART00000137477	ENSDARP00000120483
ENSDART00000137493	ENSDARP00000130682
ENSDART00000137494	
ENSDART00000137504	ENSDARP00000116348
ENSDART00000137507	
ENSDART00000137511	
ENSDART00000137524	
ENSDART00000137528	ENSDARP00000116241
ENSDART00000137530	ENSDARP00000119185
ENSDART00000137534	ENSDARP00000114608
ENSDART00000137536	ENSDARP00000120257
ENSDART00000137558	ENSDARP00000119342
ENSDART00000137571	
ENSDART00000137573	ENSDARP00000122768
ENSDART00000137578	ENSDARP00000118931
ENSDART00000137581	
ENSDART00000137583	ENSDARP00000113507
ENSDART00000137598	ENSDARP00000119147
ENSDART00000137599	ENSDARP00000114429
ENSDART00000137623	
ENSDART00000137625	
ENSDART00000137628	
ENSDART00000137632	
ENSDART00000137641	ENSDARP00000116049
ENSDART00000137648	ENSDARP00000116939
ENSDART00000137653	ENSDARP00000118900
ENSDART00000137662	
ENSDART00000137663	ENSDARP00000114911
ENSDART00000137668	ENSDARP00000122755
ENSDART00000137669	ENSDARP00000113264
ENSDART00000137675	ENSDARP00000124070
ENSDART00000137676	ENSDARP00000113440
ENSDART00000137678	ENSDARP00000113946
ENSDART00000137679	ENSDARP00000125862
ENSDART00000137689	ENSDARP00000121443
ENSDART00000137697	ENSDARP00000115385
ENSDART00000137705	ENSDARP00000121691
ENSDART00000137706	
ENSDART00000137709	ENSDARP00000117963
ENSDART00000137725	ENSDARP00000122122
ENSDART00000137728	ENSDARP00000120920
ENSDART00000137729	
ENSDART00000137736	ENSDARP00000113321
ENSDART00000137737	ENSDARP00000122089
ENSDART00000137738	
ENSDART00000137745	
ENSDART00000137751	ENSDARP00000120618
ENSDART00000137757	ENSDARP00000123550
ENSDART00000137759	ENSDARP00000120786
ENSDART00000137761	ENSDARP00000120409
ENSDART00000137768	ENSDARP00000119233
ENSDART00000137773	
ENSDART00000137795	ENSDARP00000114529
ENSDART00000137802	
ENSDART00000137807	ENSDARP00000119598
ENSDART00000137814	ENSDARP00000119144
ENSDART00000137817	ENSDARP00000120602
ENSDART00000137820	ENSDARP00000112528
ENSDART00000137821	ENSDARP00000118632
ENSDART00000137828	
ENSDART00000137829	ENSDARP00000115040
ENSDART00000137834	ENSDARP00000119072
ENSDART00000137838	ENSDARP00000118280
ENSDART00000137844	ENSDARP00000118284
ENSDART00000137857	ENSDARP00000117922
ENSDART00000137864	
ENSDART00000137865	ENSDARP00000113122
