Transcript stable ID	Protein stable ID
ENSDART00000139730	ENSDARP00000117832
ENSDART00000139734	ENSDARP00000123075
ENSDART00000139740	
ENSDART00000139741	
ENSDART00000139760	
ENSDART00000139787	ENSDARP00000120248
ENSDART00000139790	
ENSDART00000139802	ENSDARP00000113987
ENSDART00000139806	
ENSDART00000139825	ENSDARP00000123238
ENSDART00000139843	ENSDARP00000115643
ENSDART00000139855	ENSDARP00000121211
ENSDART00000139856	ENSDARP00000123102
ENSDART00000139864	ENSDARP00000114227
ENSDART00000139871	ENSDARP00000114806
ENSDART00000139923	ENSDARP00000127180
ENSDART00000139927	ENSDARP00000117771
ENSDART00000139929	ENSDARP00000123207
ENSDART00000139935	
ENSDART00000139946	ENSDARP00000122905
ENSDART00000139947	ENSDARP00000115473
ENSDART00000139964	ENSDARP00000113389
ENSDART00000139977	
ENSDART00000139988	
ENSDART00000139999	ENSDARP00000112897
ENSDART00000140009	ENSDARP00000112960
ENSDART00000140016	ENSDARP00000120919
ENSDART00000140023	
ENSDART00000140042	ENSDARP00000116780
ENSDART00000140045	ENSDARP00000115060
ENSDART00000140049	ENSDARP00000138644
ENSDART00000140051	ENSDARP00000113238
ENSDART00000140056	ENSDARP00000117910
ENSDART00000140061	ENSDARP00000117113
ENSDART00000140064	ENSDARP00000113458
ENSDART00000140067	ENSDARP00000115252
ENSDART00000140076	ENSDARP00000115915
ENSDART00000140087	ENSDARP00000115718
ENSDART00000140099	ENSDARP00000119956
ENSDART00000140102	
ENSDART00000140106	ENSDARP00000120118
ENSDART00000140113	ENSDARP00000117181
ENSDART00000140116	
ENSDART00000140127	ENSDARP00000120424
ENSDART00000140130	
ENSDART00000140134	
ENSDART00000140141	ENSDARP00000123263
ENSDART00000140145	ENSDARP00000121265
ENSDART00000140153	ENSDARP00000117765
ENSDART00000140173	ENSDARP00000118979
ENSDART00000140176	ENSDARP00000121247
ENSDART00000140200	ENSDARP00000116677
ENSDART00000140215	
ENSDART00000140219	ENSDARP00000120995
ENSDART00000140230	ENSDARP00000113098
ENSDART00000140232	ENSDARP00000117631
ENSDART00000140235	
ENSDART00000140253	ENSDARP00000117005
ENSDART00000140257	ENSDARP00000119231
ENSDART00000140259	
ENSDART00000140264	ENSDARP00000115133
ENSDART00000140272	ENSDARP00000117394
ENSDART00000140276	ENSDARP00000126231
ENSDART00000140290	ENSDARP00000122112
ENSDART00000140292	
ENSDART00000140298	ENSDARP00000121760
ENSDART00000140301	ENSDARP00000116371
ENSDART00000140307	ENSDARP00000118789
ENSDART00000140316	ENSDARP00000122652
ENSDART00000140328	
ENSDART00000140345	ENSDARP00000123442
ENSDART00000140347	ENSDARP00000115587
ENSDART00000140350	ENSDARP00000120705
ENSDART00000140351	ENSDARP00000118293
ENSDART00000140367	
ENSDART00000140370	
ENSDART00000140374	
ENSDART00000140384	ENSDARP00000122800
ENSDART00000140386	ENSDARP00000119563
ENSDART00000140391	ENSDARP00000116623
ENSDART00000140392	ENSDARP00000123250
ENSDART00000140395	
ENSDART00000140400	ENSDARP00000116558
ENSDART00000140402	ENSDARP00000115185
ENSDART00000140406	
ENSDART00000140412	ENSDARP00000119389
ENSDART00000140415	
ENSDART00000140416	
ENSDART00000140431	ENSDARP00000119108
ENSDART00000140439	ENSDARP00000114074
ENSDART00000140441	
ENSDART00000140442	ENSDARP00000113824
ENSDART00000140453	
ENSDART00000140463	ENSDARP00000115119
ENSDART00000140468	ENSDARP00000112992
ENSDART00000140469	ENSDARP00000123498
ENSDART00000140478	ENSDARP00000117426
ENSDART00000140484	ENSDARP00000115847
ENSDART00000140485	
ENSDART00000140498	ENSDARP00000116499
ENSDART00000140507	
ENSDART00000140510	ENSDARP00000119547
ENSDART00000140512	ENSDARP00000126872
ENSDART00000140528	ENSDARP00000115555
ENSDART00000140530	
ENSDART00000140531	ENSDARP00000117451
ENSDART00000140537	ENSDARP00000120613
ENSDART00000140539	ENSDARP00000113104
ENSDART00000140541	ENSDARP00000120406
ENSDART00000140543	ENSDARP00000115049
ENSDART00000140552	ENSDARP00000121141
ENSDART00000140557	ENSDARP00000123088
ENSDART00000140560	
ENSDART00000140576	ENSDARP00000117429
ENSDART00000140577	ENSDARP00000122014
ENSDART00000140581	ENSDARP00000114468
ENSDART00000140589	
ENSDART00000140597	
ENSDART00000140603	ENSDARP00000112715
ENSDART00000140618	ENSDARP00000121486
ENSDART00000140626	ENSDARP00000122695
ENSDART00000140631	
ENSDART00000140632	ENSDARP00000120878
ENSDART00000140634	ENSDARP00000121830
ENSDART00000140644	ENSDARP00000122109
ENSDART00000140650	ENSDARP00000118157
ENSDART00000140652	ENSDARP00000115621
ENSDART00000140655	
ENSDART00000140668	ENSDARP00000116532
ENSDART00000140680	ENSDARP00000116572
ENSDART00000140681	
ENSDART00000140694	
ENSDART00000140695	ENSDARP00000117288
ENSDART00000140696	
ENSDART00000140717	ENSDARP00000116871
ENSDART00000140722	ENSDARP00000122161
ENSDART00000140727	
ENSDART00000140729	
ENSDART00000140731	ENSDARP00000123562
ENSDART00000140736	ENSDARP00000119549
ENSDART00000140737	
ENSDART00000140740	ENSDARP00000125400
ENSDART00000140745	ENSDARP00000123404
ENSDART00000140751	ENSDARP00000121242
ENSDART00000140781	ENSDARP00000122927
ENSDART00000140786	ENSDARP00000113635
ENSDART00000140789	ENSDARP00000115206
ENSDART00000140794	ENSDARP00000117782
ENSDART00000140803	ENSDARP00000115210
ENSDART00000140804	ENSDARP00000120991
ENSDART00000140810	
ENSDART00000140817	ENSDARP00000114585
ENSDART00000140833	ENSDARP00000115752
ENSDART00000140852	
ENSDART00000140857	ENSDARP00000119134
ENSDART00000140859	ENSDARP00000113315
ENSDART00000140866	ENSDARP00000116831
ENSDART00000140874	ENSDARP00000122778
ENSDART00000140875	ENSDARP00000113359
ENSDART00000140881	ENSDARP00000122792
ENSDART00000140884	
ENSDART00000140886	
ENSDART00000140889	
ENSDART00000140893	
ENSDART00000140914	
ENSDART00000140920	ENSDARP00000112575
ENSDART00000140922	ENSDARP00000127585
ENSDART00000140926	ENSDARP00000116908
ENSDART00000140940	ENSDARP00000114615
ENSDART00000140941	ENSDARP00000120693
ENSDART00000140942	ENSDARP00000119183
ENSDART00000140943	ENSDARP00000123120
ENSDART00000140961	ENSDARP00000120327
ENSDART00000140968	ENSDARP00000121267
ENSDART00000140969	ENSDARP00000122307
ENSDART00000140970	ENSDARP00000121733
ENSDART00000140975	
ENSDART00000140978	ENSDARP00000120453
ENSDART00000140987	
ENSDART00000140988	ENSDARP00000122434
ENSDART00000140989	
ENSDART00000140994	ENSDARP00000119680
ENSDART00000141013	ENSDARP00000122195
ENSDART00000141027	
ENSDART00000141028	ENSDARP00000117855
ENSDART00000141030	ENSDARP00000122498
ENSDART00000141034	ENSDARP00000117139
ENSDART00000141035	ENSDARP00000121847
ENSDART00000141036	
ENSDART00000141039	ENSDARP00000112656
ENSDART00000141044	ENSDARP00000142805
ENSDART00000141046	ENSDARP00000119644
ENSDART00000141052	ENSDARP00000118030
ENSDART00000141057	ENSDARP00000114411
ENSDART00000141060	ENSDARP00000119783
ENSDART00000141064	
ENSDART00000141077	ENSDARP00000120972
ENSDART00000141096	ENSDARP00000118215
ENSDART00000141100	ENSDARP00000117756
ENSDART00000141105	
ENSDART00000141107	
ENSDART00000141118	ENSDARP00000120390
ENSDART00000141132	ENSDARP00000112541
ENSDART00000141156	
ENSDART00000141159	
ENSDART00000141164	ENSDARP00000123287
ENSDART00000141165	ENSDARP00000113476
ENSDART00000141170	ENSDARP00000120829
ENSDART00000141180	
ENSDART00000141192	ENSDARP00000116525
ENSDART00000141203	ENSDARP00000113057
ENSDART00000141214	ENSDARP00000113304
ENSDART00000141227	ENSDARP00000112714
ENSDART00000141235	ENSDARP00000120712
ENSDART00000141238	ENSDARP00000116036
ENSDART00000141254	
ENSDART00000141265	ENSDARP00000119714
ENSDART00000141267	ENSDARP00000114162
ENSDART00000141290	ENSDARP00000120154
ENSDART00000141308	
ENSDART00000141324	ENSDARP00000121268
ENSDART00000141340	ENSDARP00000115401
ENSDART00000141347	ENSDARP00000122599
ENSDART00000141349	ENSDARP00000118422
ENSDART00000141350	
ENSDART00000141351	ENSDARP00000122523
ENSDART00000141353	ENSDARP00000115699
ENSDART00000141361	ENSDARP00000118616
ENSDART00000141367	ENSDARP00000120653
ENSDART00000141371	ENSDARP00000123292
ENSDART00000141381	
ENSDART00000141385	ENSDARP00000114575
ENSDART00000141393	ENSDARP00000118507
ENSDART00000141399	ENSDARP00000123479
ENSDART00000141400	
ENSDART00000141408	ENSDARP00000121774
ENSDART00000141418	ENSDARP00000122853
ENSDART00000141420	ENSDARP00000114128
ENSDART00000141439	
ENSDART00000141445	ENSDARP00000119576
ENSDART00000141451	ENSDARP00000114422
ENSDART00000141453	ENSDARP00000115163
ENSDART00000141458	ENSDARP00000119206
ENSDART00000141463	ENSDARP00000114487
ENSDART00000141471	ENSDARP00000123163
ENSDART00000141472	
ENSDART00000141477	ENSDARP00000120863
ENSDART00000141486	ENSDARP00000120194
ENSDART00000141488	
ENSDART00000141497	
ENSDART00000141502	ENSDARP00000112740
ENSDART00000141504	ENSDARP00000114435
ENSDART00000141505	ENSDARP00000116957
