Transcript stable ID	Protein stable ID
ENSDART00000152876	ENSDARP00000127238
ENSDART00000152877	
ENSDART00000152881	
ENSDART00000152885	ENSDARP00000127393
ENSDART00000152890	
ENSDART00000152892	ENSDARP00000127207
ENSDART00000152904	ENSDARP00000127233
ENSDART00000152913	ENSDARP00000127166
ENSDART00000152918	ENSDARP00000127187
ENSDART00000152921	ENSDARP00000127170
ENSDART00000152925	
ENSDART00000152926	ENSDARP00000127200
ENSDART00000152935	ENSDARP00000127385
ENSDART00000152940	
ENSDART00000152941	ENSDARP00000127217
ENSDART00000152944	ENSDARP00000127113
ENSDART00000152946	ENSDARP00000127257
ENSDART00000152965	ENSDARP00000127317
ENSDART00000152969	ENSDARP00000127352
ENSDART00000152970	ENSDARP00000127459
ENSDART00000152974	ENSDARP00000127454
ENSDART00000152982	ENSDARP00000127184
ENSDART00000152984	ENSDARP00000127169
ENSDART00000152988	ENSDARP00000127376
ENSDART00000152991	ENSDARP00000127336
ENSDART00000153006	ENSDARP00000127243
ENSDART00000153018	ENSDARP00000127124
ENSDART00000153029	
ENSDART00000153030	ENSDARP00000127292
ENSDART00000153036	
ENSDART00000153049	ENSDARP00000127321
ENSDART00000153050	
ENSDART00000153054	ENSDARP00000127394
ENSDART00000153055	ENSDARP00000127252
ENSDART00000153057	ENSDARP00000127302
ENSDART00000153068	ENSDARP00000127119
ENSDART00000153070	
ENSDART00000153085	ENSDARP00000127266
ENSDART00000153094	ENSDARP00000127411
ENSDART00000153101	ENSDARP00000127330
ENSDART00000153108	ENSDARP00000127371
ENSDART00000153111	ENSDARP00000127290
ENSDART00000153112	ENSDARP00000127414
ENSDART00000153118	ENSDARP00000127126
ENSDART00000153140	ENSDARP00000127228
ENSDART00000153143	
ENSDART00000153146	ENSDARP00000127143
ENSDART00000153159	ENSDARP00000127424
ENSDART00000153168	ENSDARP00000127291
ENSDART00000153184	
ENSDART00000153189	
ENSDART00000153192	
ENSDART00000153193	ENSDARP00000127293
ENSDART00000153198	ENSDARP00000127294
ENSDART00000153206	
ENSDART00000153227	ENSDARP00000127206
ENSDART00000153230	
ENSDART00000153236	
ENSDART00000153238	
ENSDART00000153239	
ENSDART00000153253	
ENSDART00000153259	ENSDARP00000127282
ENSDART00000153265	ENSDARP00000127181
ENSDART00000153267	
ENSDART00000153271	
ENSDART00000153272	ENSDARP00000127445
ENSDART00000153275	ENSDARP00000127160
ENSDART00000153280	ENSDARP00000127421
ENSDART00000153284	ENSDARP00000127108
ENSDART00000153291	ENSDARP00000127251
ENSDART00000153308	
ENSDART00000153310	ENSDARP00000127377
ENSDART00000153317	ENSDARP00000127389
ENSDART00000153332	ENSDARP00000127400
ENSDART00000153333	
ENSDART00000153339	ENSDARP00000127197
ENSDART00000153369	ENSDARP00000127240
ENSDART00000153376	ENSDARP00000127447
ENSDART00000153379	ENSDARP00000127331
ENSDART00000153383	
ENSDART00000153388	ENSDARP00000127284
ENSDART00000153389	ENSDARP00000127163
ENSDART00000153391	ENSDARP00000127249
ENSDART00000153405	ENSDARP00000127198
ENSDART00000153418	ENSDARP00000127236
ENSDART00000153424	ENSDARP00000127327
ENSDART00000153425	
ENSDART00000153426	ENSDARP00000127209
ENSDART00000153427	
ENSDART00000153430	ENSDARP00000127415
ENSDART00000153435	ENSDARP00000127158
ENSDART00000153437	ENSDARP00000127229
ENSDART00000153438	ENSDARP00000127213
ENSDART00000153448	
ENSDART00000153449	ENSDARP00000127357
ENSDART00000153456	ENSDARP00000127226
ENSDART00000153459	ENSDARP00000127212
ENSDART00000153464	
ENSDART00000153475	
ENSDART00000153480	ENSDARP00000128776
ENSDART00000153496	ENSDARP00000129101
ENSDART00000153519	ENSDARP00000127652
ENSDART00000153526	ENSDARP00000133600
ENSDART00000153535	
ENSDART00000153538	
ENSDART00000153552	ENSDARP00000128647
ENSDART00000153571	
ENSDART00000153586	ENSDARP00000128546
ENSDART00000153595	ENSDARP00000129410
ENSDART00000153597	ENSDARP00000128882
ENSDART00000153616	ENSDARP00000128563
ENSDART00000153659	
ENSDART00000153662	ENSDARP00000128058
ENSDART00000153663	ENSDARP00000127603
ENSDART00000153673	ENSDARP00000127890
ENSDART00000153678	ENSDARP00000128438
ENSDART00000153704	ENSDARP00000127541
ENSDART00000153709	ENSDARP00000129106
ENSDART00000153732	
ENSDART00000153745	ENSDARP00000129802
ENSDART00000153749	ENSDARP00000128215
ENSDART00000153755	
ENSDART00000153759	ENSDARP00000127533
ENSDART00000153761	ENSDARP00000127851
ENSDART00000153768	ENSDARP00000129109
ENSDART00000153773	ENSDARP00000128481
ENSDART00000153797	ENSDARP00000127656
ENSDART00000153816	ENSDARP00000127575
ENSDART00000153825	ENSDARP00000129304
ENSDART00000153827	ENSDARP00000128070
ENSDART00000153836	
ENSDART00000153840	ENSDARP00000128466
ENSDART00000153841	ENSDARP00000127675
ENSDART00000153846	
ENSDART00000153851	
ENSDART00000153852	
ENSDART00000153853	ENSDARP00000128933
ENSDART00000153857	
ENSDART00000153866	ENSDARP00000127680
ENSDART00000153871	
ENSDART00000153892	ENSDARP00000127593
