Transcript stable ID	Protein stable ID
ENSDART00000148803	
ENSDART00000148813	
ENSDART00000148816	ENSDARP00000124356
ENSDART00000148818	
ENSDART00000148822	ENSDARP00000124010
ENSDART00000148826	ENSDARP00000124900
ENSDART00000148853	ENSDARP00000124786
ENSDART00000148865	ENSDARP00000124386
ENSDART00000148868	
ENSDART00000148877	ENSDARP00000124545
ENSDART00000148888	ENSDARP00000125052
ENSDART00000148899	ENSDARP00000123748
ENSDART00000148905	ENSDARP00000123696
ENSDART00000148912	ENSDARP00000123965
ENSDART00000148935	
ENSDART00000148953	ENSDARP00000123957
ENSDART00000148956	
ENSDART00000148961	ENSDARP00000124401
ENSDART00000148976	
ENSDART00000148989	ENSDARP00000123912
ENSDART00000148991	
ENSDART00000148993	ENSDARP00000124246
ENSDART00000148999	ENSDARP00000124479
ENSDART00000149015	ENSDARP00000124496
ENSDART00000149018	ENSDARP00000123851
ENSDART00000149024	ENSDARP00000124881
ENSDART00000149032	ENSDARP00000125055
ENSDART00000149035	ENSDARP00000124887
ENSDART00000149037	
ENSDART00000149041	ENSDARP00000123784
ENSDART00000149045	ENSDARP00000124344
ENSDART00000149061	ENSDARP00000124871
ENSDART00000149068	ENSDARP00000124674
ENSDART00000149071	
ENSDART00000149082	ENSDARP00000124795
ENSDART00000149088	ENSDARP00000124661
ENSDART00000149093	ENSDARP00000124334
ENSDART00000149098	ENSDARP00000124527
ENSDART00000149099	
ENSDART00000149105	
ENSDART00000149117	ENSDARP00000124702
ENSDART00000149128	
ENSDART00000149146	
ENSDART00000149151	ENSDARP00000124243
ENSDART00000149154	ENSDARP00000124148
ENSDART00000149171	ENSDARP00000124362
ENSDART00000149172	
ENSDART00000149177	ENSDARP00000124985
ENSDART00000149185	ENSDARP00000125021
ENSDART00000149189	ENSDARP00000124698
ENSDART00000149195	ENSDARP00000124376
ENSDART00000149199	
ENSDART00000149213	
ENSDART00000149218	ENSDARP00000123783
ENSDART00000149221	ENSDARP00000124302
ENSDART00000149224	
ENSDART00000149239	
ENSDART00000149250	ENSDARP00000125070
ENSDART00000149251	
ENSDART00000149256	ENSDARP00000123769
ENSDART00000149257	ENSDARP00000123900
ENSDART00000149261	
ENSDART00000149287	ENSDARP00000124321
ENSDART00000149291	ENSDARP00000124444
ENSDART00000149304	ENSDARP00000123918
ENSDART00000149320	ENSDARP00000124659
ENSDART00000149331	
ENSDART00000149332	ENSDARP00000123894
ENSDART00000149360	ENSDARP00000124229
ENSDART00000149368	
ENSDART00000149379	
ENSDART00000149398	ENSDARP00000123979
ENSDART00000149403	ENSDARP00000125002
ENSDART00000149404	ENSDARP00000123787
ENSDART00000149417	ENSDARP00000124306
ENSDART00000149429	ENSDARP00000123964
ENSDART00000149431	ENSDARP00000124699
ENSDART00000149432	ENSDARP00000123701
ENSDART00000149435	ENSDARP00000124621
ENSDART00000149447	ENSDARP00000123947
ENSDART00000149451	ENSDARP00000124275
ENSDART00000149452	
ENSDART00000149454	
ENSDART00000149460	ENSDARP00000124484
ENSDART00000149462	ENSDARP00000124161
ENSDART00000149463	ENSDARP00000124679
ENSDART00000149473	ENSDARP00000124845
ENSDART00000149485	ENSDARP00000124911
ENSDART00000149488	ENSDARP00000124166
ENSDART00000149508	ENSDARP00000124340
ENSDART00000149520	ENSDARP00000124404
ENSDART00000149521	ENSDARP00000124692
ENSDART00000149527	ENSDARP00000124348
ENSDART00000149532	ENSDARP00000123754
ENSDART00000149537	ENSDARP00000123749
ENSDART00000149553	ENSDARP00000124862
ENSDART00000149558	
ENSDART00000149567	
ENSDART00000149589	ENSDARP00000124523
ENSDART00000149590	
ENSDART00000149605	ENSDARP00000125006
ENSDART00000149625	ENSDARP00000124697
ENSDART00000149635	ENSDARP00000124214
