Transcript stable ID	Protein stable ID
ENSDART00000142973	
ENSDART00000142976	
ENSDART00000142979	ENSDARP00000112801
ENSDART00000142997	ENSDARP00000120826
ENSDART00000143001	ENSDARP00000123400
ENSDART00000143006	ENSDARP00000115736
ENSDART00000143008	
ENSDART00000143017	
ENSDART00000143020	ENSDARP00000112766
ENSDART00000143038	
ENSDART00000143043	ENSDARP00000117777
ENSDART00000143046	ENSDARP00000120030
ENSDART00000143054	ENSDARP00000121100
ENSDART00000143059	
ENSDART00000143087	ENSDARP00000117257
ENSDART00000143088	ENSDARP00000118656
ENSDART00000143097	ENSDARP00000119010
ENSDART00000143098	ENSDARP00000117305
ENSDART00000143099	ENSDARP00000114050
ENSDART00000143103	ENSDARP00000118521
ENSDART00000143110	
ENSDART00000143112	ENSDARP00000123124
ENSDART00000143120	ENSDARP00000116314
ENSDART00000143130	ENSDARP00000115987
ENSDART00000143132	
ENSDART00000143135	ENSDARP00000116127
ENSDART00000143152	ENSDARP00000117517
ENSDART00000143160	ENSDARP00000113137
ENSDART00000143165	ENSDARP00000121300
ENSDART00000143168	
ENSDART00000143171	ENSDARP00000117550
ENSDART00000143172	ENSDARP00000122610
ENSDART00000143184	ENSDARP00000115895
ENSDART00000143185	ENSDARP00000121568
ENSDART00000143189	ENSDARP00000118778
ENSDART00000143210	ENSDARP00000114870
ENSDART00000143213	ENSDARP00000114708
ENSDART00000143214	ENSDARP00000120193
ENSDART00000143217	
ENSDART00000143223	ENSDARP00000122297
ENSDART00000143228	ENSDARP00000121357
ENSDART00000143233	ENSDARP00000119895
ENSDART00000143248	ENSDARP00000119375
ENSDART00000143271	ENSDARP00000113288
ENSDART00000143276	ENSDARP00000112840
ENSDART00000143283	
ENSDART00000143290	ENSDARP00000115472
ENSDART00000143294	
ENSDART00000143296	
ENSDART00000143300	ENSDARP00000112550
ENSDART00000143305	
ENSDART00000143308	ENSDARP00000122483
ENSDART00000143319	
ENSDART00000143324	ENSDARP00000117314
ENSDART00000143331	ENSDARP00000117727
ENSDART00000143332	
ENSDART00000143350	
ENSDART00000143361	ENSDARP00000115997
ENSDART00000143365	ENSDARP00000113351
ENSDART00000143379	ENSDARP00000114023
ENSDART00000143382	ENSDARP00000114571
ENSDART00000143385	
ENSDART00000143387	ENSDARP00000119513
ENSDART00000143394	ENSDARP00000120610
ENSDART00000143405	
ENSDART00000143412	ENSDARP00000122670
ENSDART00000143414	
ENSDART00000143415	
ENSDART00000143419	ENSDARP00000114880
ENSDART00000143428	
ENSDART00000143434	ENSDARP00000117135
ENSDART00000143436	ENSDARP00000117162
ENSDART00000143457	ENSDARP00000120032
ENSDART00000143461	
ENSDART00000143469	ENSDARP00000121863
ENSDART00000143481	ENSDARP00000113479
ENSDART00000143485	ENSDARP00000115160
ENSDART00000143491	
ENSDART00000143494	ENSDARP00000121522
ENSDART00000143497	ENSDARP00000116159
ENSDART00000143508	
ENSDART00000143511	ENSDARP00000118508
ENSDART00000143518	ENSDARP00000113956
ENSDART00000143524	
ENSDART00000143539	
ENSDART00000143542	
ENSDART00000143543	
ENSDART00000143555	ENSDARP00000118390
ENSDART00000143567	
ENSDART00000143573	ENSDARP00000120166
ENSDART00000143574	ENSDARP00000113790
ENSDART00000143577	ENSDARP00000117202
ENSDART00000143581	ENSDARP00000118081
ENSDART00000143583	ENSDARP00000120421
ENSDART00000143591	ENSDARP00000120874
ENSDART00000143599	ENSDARP00000115665
ENSDART00000143604	ENSDARP00000114810
